"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"IRM";"Iron Mountain Incorporated";"Real Estate";33.09;2.1296253;2172643;0.46;2.474
"ISRG";"Intuitive Surgical Inc.";"Health Care";769.99;1.0154136;404379;8.82;NA
"IT";"Gartner Inc";"Information Technology";168.11;2.1945293;725939;2.372;NA
"ITW";"Illinois Tool Works";"Industrials";204.24;1.0138993;1278503;6.63;4.42
"IVZ";"Invesco Ltd.";"Financials";22.28;1.4572022;3512569;1.13;0.62
"J";"Jacobs Engineering Group";"Industrials";109.13;1.5635183;691031;NA;NA
"JBHT";"J. B. Hunt Transport Services";"Industrials";146.02;0.94712096;380773;4.74;1.08
"JCI";"Johnson Controls International";"Industrials";51.71;1.2928499;2740065;1.242;1.04
"JKHY";"Jack Henry & Associates";"Information Technology";158.21;3.466093;1147605;3.889;1.69
"JNJ";"Johnson & Johnson";"Health Care";164.92;0.2858019;6023565;5.509;3.98
"JNPR";"Juniper Networks";"Information Technology";25.15;2.4439936;3261286;0.77;0.8
"JPM";"JPMorgan Chase & Co.";"Financials";140.14;1.5654469;10132925;8.88;3.6
"K";"Kellogg Co.";"Consumer Staples";57.74;-0.49973652;3167531;3.452;2.28
"KEY";"KeyCorp";"Financials";18.92;1.8847624;4406879;1.274;0.74
"KEYS";"Keysight Technologies";"Information Technology";144.7;1.2242043;1004668;3.31;NA
"KHC";"Kraft Heinz Co";"Consumer Staples";33.91;0.3254456;5084784;-0.404;1.6
"KIM";"Kimco Realty";"Real Estate";17.05;1.9736837;3387428;2.019;0.66
"KLAC";"KLA Corporation";"Information Technology";302.26;4.940461;1018152;8.743;3.5
"KMB";"Kimberly-Clark";"Consumer Staples";132.19;0.015135259;1450807;6.87;4.28
"KMI";"Kinder Morgan";"Energy";14.73;4.0989394;16729747;0.05;1.05
"KMX";"Carmax Inc";"Consumer Discretionary";126.85;0.5389556;723907;4.551;NA
"KO";"Coca-Cola Company";"Consumer Staples";49.92;0.5437999;17824530;1.93;1.63
"KR";"Kroger Co.";"Consumer Staples";33.28;0.39214855;8821698;3.736;0.68
"KSU";"Kansas City Southern";"Industrials";203.95;-2.5002372;907308;6.54;1.64
"L";"Loews Corp.";"Financials";48.42;1.2970688;739369;-3.892;0.25
"LB";"L Brands Inc.";"Consumer Discretionary";50.78;2.8143337;3298734;-0.756;0.6
"LDOS";"Leidos Holdings";"Information Technology";108.09;1.2457794;621107;4.26;1.36
"LEG";"Leggett & Platt";"Consumer Discretionary";43.66;1.4876788;1447086;1.7;1.6
"LEN";"Lennar Corp.";"Consumer Discretionary";95.22;4.6833797;4116629;7.846;0.625
"LH";"Laboratory Corp. of America Holding";"Health Care";225.97;-0.25601494;642206;8.622;NA
"LHX";"L3Harris Technologies";"Industrials";186.27;1.8815306;1258410;7.351;3
